report_id,report_date,freshness,age_days,county,water_name,source_type,source_name,official,title,summary,species,techniques,source_url
01b5791f9ec37f704e66,2026-07-01,recent,31,Sublette,"COTTONWOOD CREEK, SOUTH",official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,"Recent WGFD stocking: COTTONWOOD CREEK, SOUTH","Wyoming Game and Fish reports stocking COTTONWOOD CREEK, SOUTH during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 1,790. Reported length: 7.8. No exact Fishing Guide water-name match was found.",COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
7b5957f3aef6d4652bb7,2026-07-01,recent,31,Sublette,"COTTONWOOD CREEK, NORTH",official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,"Recent WGFD stocking: COTTONWOOD CREEK, NORTH","Wyoming Game and Fish reports stocking COTTONWOOD CREEK, NORTH during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 3,823. Reported length: 7.6. No exact Fishing Guide water-name match was found.",COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
305594f8895a4e8f9981,2026-07-01,recent,31,Fremont,CLENDENNING LAKE,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: CLENDENNING LAKE,Wyoming Game and Fish reports stocking CLENDENNING LAKE during JUL 2026. Species: BROOK TROUT. Number stocked: 326. Reported length: 3.7. No exact Fishing Guide water-name match was found.,BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
3a7345630692d0895812,2026-07-01,recent,31,Fremont,CHRISTINA LAKE,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: CHRISTINA LAKE,"Wyoming Game and Fish reports stocking CHRISTINA LAKE during JUL 2026. Species: BROOK TROUT. Number stocked: 4,396. Reported length: 3.3. No exact Fishing Guide water-name match was found.",BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
c03bb4618f910bd126d3,2026-07-01,recent,31,Albany,"BROOKLYN LAKE, LITTLE",official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,"Recent WGFD stocking: BROOKLYN LAKE, LITTLE","Wyoming Game and Fish reports stocking BROOKLYN LAKE, LITTLE during JUL 2026. Species: COLORADO RIVER CUTTHROAT. Number stocked: 550. Reported length: 8.9. No exact Fishing Guide water-name match was found.",COLORADO RIVER CUTTHROAT,,https://wgfapps.wyo.gov/FishStock/FishStock
837e073cfffb28945c95,2026-07-01,recent,31,Sublette,BLUCHER LAKE,official_recent_stocking_unmatched,Wyoming Game and Fish Department,True,Recent WGFD stocking: BLUCHER LAKE,Wyoming Game and Fish reports stocking BLUCHER LAKE during JUL 2026. Species: BROOK TROUT. Number stocked: 495. Reported length: 3.7. No exact Fishing Guide water-name match was found.,BROOK TROUT,,https://wgfapps.wyo.gov/FishStock/FishStock
21f62873bf8a56282c45,,date_unknown,,Sweetwater,Zehawi Pond,official_fishing_guide_reference,Wyoming Game and Fish Department,True,WGFD Fishing Guide: Zehawi Pond,Wyoming Game and Fish lists Zehawi Pond in its interactive Fishing Guide and the builder matched an official public-access indicator or facility. Access information: Rules: 4.,None,,https://wgfd.wyo.gov/fishing-boating/places-fish-wyoming
e52c943ba6c100325263,,date_unknown,,Teton,Yellowstone National Park...See Contact Info,official_fishing_guide_reference,Wyoming Game and Fish Department,True,WGFD Fishing Guide: Yellowstone National Park...See Contact Info,Wyoming Game and Fish lists Yellowstone National Park...See Contact Info in its interactive Fishing Guide and the builder matched an official public-access indicator or facility. Access information: Rules: <a href=https://www.nps.gov/yell/planyourvisit/fishing.htm><img src=https://wgfd.wyo.gov/sites/default/files/2024-03/YNP_MoreInfo_btn.jpg></a>.,None,,https://wgfd.wyo.gov/fishing-boating/places-fish-wyoming
4fe5196139ff019e4c5b,,date_unknown,,Fremont,Worthen Meadows Reservoir,official_fishing_guide_reference,Wyoming Game and Fish Department,True,WGFD Fishing Guide: Worthen Meadows Reservoir,Wyoming Game and Fish lists Worthen Meadows Reservoir in its interactive Fishing Guide and the builder matched an official public-access indicator or facility. Access information: Rules: 2.,"Brook Trout, Rainbow Trout",,https://wgfd.wyo.gov/fishing-boating/places-fish-wyoming
2b337776723e1a78317d,,date_unknown,,Fremont,"Wind River, South Fork Little, Section 1",official_fishing_guide_reference,Wyoming Game and Fish Department,True,"WGFD Fishing Guide: Wind River, South Fork Little, Section 1","Wyoming Game and Fish lists Wind River, South Fork Little, Section 1 in its interactive Fishing Guide and the builder matched an official public-access indicator or facility. Access information: Rules: <a href=https://wgfd.wyo.gov/current-fishing-regulations><img src=https://wgfd.wyo.gov/sites/default/files/2024-03/regulation_area-02.jpg></a>.","Brook Trout, Goldbow, Golden Trout, Rainbow Trout, Yellowstone Cutthroat",,https://wgfd.wyo.gov/fishing-boating/places-fish-wyoming
