access_area_name,county,official_wdfw_url
Hof Bar,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/hof-bar-511
Lake Whatcom,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-whatcom-713
Ferndale,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/ferndale-514
Lake Samish,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-samish-573
Silver Lake,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/silver-lake-597
Toad Lake,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/toad-lake-673
Lake Terrell,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-terrell-1638
Squalicum Lake,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/squalicum-lake-643
Lake Fazon,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-fazon-367
De Groot,Whatcom,https://wdfw.wa.gov/places-to-go/water-access-sites/de-groot-510
Egg Lake,San Juan,https://wdfw.wa.gov/places-to-go/water-access-sites/egg-lake-353
Hummel Lake,San Juan,https://wdfw.wa.gov/places-to-go/water-access-sites/hummel-lake-404
Sportsmans Lake,San Juan,https://wdfw.wa.gov/places-to-go/water-access-sites/30447
Lake Goss,Island,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-goss-380
Deer Lake,Island,https://wdfw.wa.gov/places-to-go/water-access-sites/deer-lake-340
Grasser's Lagoon,Island,https://wdfw.wa.gov/places-to-go/water-access-sites/grassers-lagoon-536
Lone Lake,Island,https://wdfw.wa.gov/places-to-go/water-access-sites/lone-lake-459
Fisherman's Loop,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/fishermans-loop-1546
Hand,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/hand-422
Beginners' Hole,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/beginners-hole-257
Pekin Ferry,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/pekin-ferry-1219
Modrow Bridge,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/modrow-bridge-490
Olequa Crossing,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/30067
Kress Lake,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/kress-lake-429
Tower Bridge,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/tower-bridge-680
Prichard,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/prichard-421
Mouth of Toutle,Cowlitz,https://wdfw.wa.gov/places-to-go/water-access-sites/mouth-toutle-681
Leidl,Klickitat,https://wdfw.wa.gov/places-to-go/water-access-sites/leidl-1640
Turkey Hole,Klickitat,https://wdfw.wa.gov/places-to-go/water-access-sites/turkey-hole-1534
Rowland Lake,Klickitat,https://wdfw.wa.gov/places-to-go/water-access-sites/rowland-lake-571
County Line,Clark,https://wdfw.wa.gov/places-to-go/water-access-sites/county-line-698
Vancouver Lake,Clark,https://wdfw.wa.gov/places-to-go/water-access-sites/vancouver-lake-1708
Langsdorf Landing,Clark,https://wdfw.wa.gov/places-to-go/water-access-sites/30051
Cedar Creek,Clark,https://wdfw.wa.gov/places-to-go/water-access-sites/cedar-creek-448
Three Mile,Clark,https://wdfw.wa.gov/places-to-go/water-access-sites/three-mile-697
Toledo,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/toledo-324
Mineral Lake,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/mineral-lake-485
Barrier Dam,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/barrier-dam-250
Plummer Lake,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/plummer-lake-545
I-5 Bridge,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/i-5-409
Massey Bar,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/massey-bar-472
Swofford Pond,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/swofford-pond-1784
Blue Creek,Lewis,https://wdfw.wa.gov/places-to-go/water-access-sites/blue-creek-268
Benson Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/benson-lake-259
North Bay,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/north-bay-515
Cady Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/cady-lake-283
Colonel's Hole,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/colonels-hole-609
Trails End Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/trails-end-lake-553
Island Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/island-lake-413
Twin Lakes,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/twin-lakes-685
Spencer Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/spencer-lake-637
Haven Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/haven-lake-394
Phillips Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/phillips-lake-540
Lost Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/lost-lake-464
Tee Lake,Mason,https://wdfw.wa.gov/places-to-go/water-access-sites/tee-lake-669
Point Whitney,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/point-whitney-548
Big Quilcene,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/big-quilcene-river-261
Pleasant Harbor,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/pleasant-harbor-543
Triton Cove,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/30985
Indian George Creek,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/30674
Leland Lake,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/leland-lake-446
Gardiner,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/gardiner-1141
Vannausdle,Jefferson,https://wdfw.wa.gov/places-to-go/water-access-sites/vannausdle-1054
Maxfield,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/30043
Salmon Hatchery,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/salmon-hatchery-1038
Thomas,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/thomas-1052
Wilson,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/30049
Hillstrom,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/hillstrom-632
Sekiu,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/sekiu-1822
Rearing Pond,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/rearing-pond-1036
Elwha River,Clallam,https://wdfw.wa.gov/places-to-go/water-access-sites/elwha-river-360
