county_number,county,water_name,water_type,latitude,longitude,public_access_verified,access_point_count,access_point_name,manager,boat_ramp,dock,restroom,camping,ada_fishing,official_source_url,access_details
28,Madison,Ruby Creek,creek,45.04813749737688,-111.72995938058624,True,4,Public access site 618,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Ruby River Reservoir,reservoir,45.23339647878901,-112.11765249697092,True,2,Ruby Dam,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753484,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Ruby River Reservoir,reservoir,45.23339647878901,-112.11765249697092,True,2,RUBY RESERVOIR REC SITE,Bureau of Land Management recreation site,True,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: RUBY RESERVOIR REC SITE
28,Madison,STOREY DITCH BOAT LAUNCH,public fishing access site,45.13733651038972,-111.67304238559419,True,1,STOREY DITCH BOAT LAUNCH,Bureau of Land Management recreation site,True,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: STOREY DITCH BOAT LAUNCH
28,Madison,Twin Lakes,water,45.23820650277921,-111.86359244424825,True,1,TWIN LAKES DAY USE,Bureau of Land Management recreation site,True,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: TWIN LAKES DAY USE
28,Madison,Upper Branham Lakes,water,45.516206516475094,-111.99501252347919,True,1,Public access site 671,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Vigilante Pond,pond,45.296886499936555,-111.95417247410775,True,1,Vigilante,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753486,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
28,Madison,Wade Lake,lake,44.812546488123544,-111.57043230429932,True,1,Public access site 681,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
28,Madison,Wall Creek,creek,44.97117649728726,-111.64715234981102,True,1,WINDY POINT BOAT LAUNCH,Bureau of Land Management recreation site,True,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: WINDY POINT BOAT LAUNCH
28,Madison,Willow Springs,water,45.75274652360272,-112.15573260378594,True,1,Parrot Castle,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753428,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
29,McCone,Mcguire Creek,creek,47.62133726959615,-106.17536162332303,True,1,McGuire Creek,"City, county, or local developed access site",False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/48,"City, county, or local developed access site. Accesstype: walk-in. Location: McGuire Creek. Owner: USFWS"
29,McCone,Nelson Creek,creek,47.55884726084149,-106.2039716176493,True,1,Nelson Creek,"City, county, or local developed access site",False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/48,"City, county, or local developed access site. Accesstype: Concrete Ramp. Location: Nelson Creek. Owner: USFWS"
30,Meagher,Beaver Creek,creek,46.75404670917537,-111.17298259369866,True,1,Fort Logan,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754579,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
30,Meagher,Calf Creek,creek,46.842066737940335,-110.96311256434875,True,1,Public access site 567,U.S. Forest Service recreation site,False,False,True,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Fourmile Creek,creek,46.542456732149766,-110.73303245423072,True,2,Public access site 518,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Fourmile Creek,creek,46.542456732149766,-110.73303245423072,True,2,Public access site 616,U.S. Forest Service recreation site,False,False,True,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Gipsy Lake,lake,46.50214668300723,-111.21222255041127,True,3,Public access site 276,U.S. Forest Service recreation site,False,False,False,True,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Gipsy Lake,lake,46.50214668300723,-111.21222255041127,True,3,Public access site 336,U.S. Forest Service recreation site,False,False,False,True,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Gipsy Lake,lake,46.50214668300723,-111.21222255041127,True,3,Public access site 341,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Iron Mines Creek,creek,46.95781675440516,-110.90079257482525,True,1,Public access site 572,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Kinney Creek,creek,46.803486746361166,-110.84769253225517,True,1,Public access site 614,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Newlan Creek,creek,46.635476721237964,-110.9398125179551,True,1,Newlan Creek Reservoir,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754461,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Gravel). Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
30,Meagher,Shields River,river,46.1845967296314,-110.40467231226889,True,1,Public access site 105,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,"U.S. Forest Service recreation site. Accessibility: <p>Access to the cabin is via a semi-primitive dirt road, Four wheel drive is necessary from June 16<sup>th</sup> to December 1<sup>st</sup>.&nbsp; After December 1<sup>st</sup> getting to the cabin involves a seven(7) mile hike, snowshoe, ski or snowmobile ride from the&nbsp;end of the plowed road to the cabin.&nbsp; No ATV&rsquo;s or Motorcycles are allowed beyond the gate from 12/2 to 6/15.</p>"
30,Meagher,South Fork Musselshell River,river,46.45588676063489,-110.3506123533424,True,1,Martinsdale Reservoir,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39753678,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
30,Meagher,Whitetail Creek,creek,46.617426765467684,-110.46526241065986,True,1,Public access site 521,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
30,Meagher,Wolsey Creek,creek,46.79799674944511,-110.80663252140329,True,1,Public access site 517,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Cyr Bridge,public fishing access site,47.005287332032054,-114.5791518727528,True,1,Cyr Bridge,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754149,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Raft Slide Launch. Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,Deer Creek,creek,47.34825634049546,-115.37667359035453,True,1,Public access site 49,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Dry Creek,creek,47.22585637259665,-114.9648134814618,True,2,Dry Creek,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754151,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,Dry Creek,creek,47.22585637259665,-114.9648134814618,True,2,Public access site 46,U.S. Forest Service recreation site,True,False,False,True,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
