report_id,report_date,freshness,age_days,county_number,county,water_name,source_type,source_name,official,rating,title,summary,species,techniques,access_notes,source_url,observed_period,raw_source_reference
0fe5d0fc0cedc11ea5,2026-06-01,recent,55,18,Clearwater,Deer Creek Reservoir,official_fishing_update,Idaho Fish and Game,True,,Rainbow trout stocking schedule for June 2026 in the Clearwater Region,"Home Press Releases and Articles idfg-jbruns Monday, June 1, 2026 - 1:45 PM MDT Fish and Game staff will be stocking nearly 40,000 catchable-size (10 to 12 inch) trout at the following locations across the Clearwater Region in June! Here's some quick highlights of some of these locations. Deer Creek Reservoir – 3,000 Rainbow Trout. This beautiful mountain reservoir was built specifically for trout fishing. Rainbow…",,,,https://idfg.idaho.gov/article/rainbow-trout-stocking-schedule-june-2026-clearwater-region,,
62360c543bba75a05a,2026-05-29,recent,58,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Rainbow trout stocking schedule for June 2026 in the Magic Valley Region,"Home Press Releases and Articles idfg-Kenzie.Baratti Friday, May 29, 2026 - 7:40 AM MDT Approximately 30,645 catchable-sized rainbow trout will be stocked in area waters in June Hatchery personnel from Fish and Game's Magic Valley Region will be stocking approximately 30,645 10-12'' catchable-sized rainbow trout in July. The stocking date and number of fish are approximate. Stocking of all waters is tentative and…",,,,https://idfg.idaho.gov/article/rainbow-trout-stocking-schedule-june-2026-magic-valley-region,,
e2b7407563a8716abf,2026-05-28,recent,59,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Fifty-two years later: remembering fallen Fish and Game Conservation Officer Sam Buntrock,"Home Press Releases and Articles idfg-KWhite Thursday, May 28, 2026 - 2:45 PM MDT Take a step back in time to learn more about one of Fish and Game’s fallen conservation officers from southeast Idaho as told by of one of our current officers. This is Sam Buntrock’s story. Former Idaho Fish and Game Conservation Officer Sam Buntrock lost his life in a plane crash in Bear Lake County in 1974 while in the line of duty…",,,,https://idfg.idaho.gov/article/fifty-two-years-later-remembering-fallen-fish-and-game-conservation-officer-sam-buntrock,,
71e55684a403aa74c9,2026-05-28,recent,59,30,Lemhi,Salmon River,official_fishing_update,Idaho Fish and Game,True,,Upper Salmon River Chinook update - 5/28/2026,"Home Press Releases and Articles idfg-gschoby Thursday, May 28, 2026 - 12:02 PM MDT Below is the second pre-season update for the upper Salmon River Chinook return and potential fisheries. Since my last update on May 19th, we’ve only seen one additional Sawtooth PIT tag cross over Bonneville Dam, bringing the current estimate to 1,790 adult Sawtooth Chinook over Bonneville. We should now be past the 50% mark of the…",,,,https://idfg.idaho.gov/article/upper-salmon-river-chinook-update-5282026,,
e84d19bef9650deb86,2026-05-27,recent,60,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,"ICCU, Scheels and F&G partner for special Free Fishing Day gear giveaway","Home Press Releases and Articles idfg-rphillips Wednesday, May 27, 2026 - 11:10 AM MDT Idaho Fish and Game’s Free Fishing Day is June 13, and some young anglers will get more than just free fishing. Scheels and ICCU, in partnership with Fish and Game, will give away fishing gear to some anglers 14 years old and younger. Fishing gear giveaways will be available at select locations while supplies last and available on…",,,,https://idfg.idaho.gov/article/iccu-scheels-and-fg-partner-special-free-fishing-day-gear-giveaway-0,,
857bf3ae67f66eee28,2026-05-27,recent,60,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,June fish stocking schedule for the Upper Snake Region,"Home Press Releases and Articles idfg-jbrower Wednesday, May 27, 2026 - 11:34 AM MDT 30,000 trout are headed to fishing waters in the Upper Snake Region this June Fish and Game staff will be stocking a total of 30,000 catchable-size (10 to 12 inch) trout at the following locations around the Upper Snake Region in June. All stocked fish are rainbow trout unless otherwise specified in the comments section. Start the…",,,,https://idfg.idaho.gov/article/june-fish-stocking-schedule-upper-snake-region-2,,
0637d53892268834e1,2026-05-27,recent,60,30,Lemhi,Salmon River,official_fishing_update,Idaho Fish and Game,True,,Spring Chinook Fishery Update (5/27/2026),"Home Press Releases and Articles idfg-jthiessen Wednesday, May 27, 2026 - 3:19 PM MDT IMPORTANT NOTICE (Click links to view official closure notice) Rapid River Fisheries: River Code 10 in the lower Salmon River (Rice Creek to Twin Bridges) is closed . Clearwater Fisheries: River Code 3 A-B (Camas Prairie Train Bridge to Cherrylane Bridge) remains closed. HARVEST SHARES The projected spring Chinook Salmon harvest…",,,,https://idfg.idaho.gov/article/spring-chinook-fishery-update-5272026,,
76d27f78e75634c4fd,2026-05-27,recent,60,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Statewide trout stocking highlights for June 2026,"Home Press Releases and Articles idfg-cliess Wednesday, May 27, 2026 - 10:58 AM MDT Approximately 243,000 catchable-sized rainbow trout will be stocked throughout the state this June. Many of Idaho’s lakes and ponds are soon going to be bolstered with Idaho Fish and Game stocking over 243,000 catchable-sized rainbow trout this June. Wondering if the stocking trucks are going to be backing up to your favorite fishing…",,,,https://idfg.idaho.gov/article/statewide-trout-stocking-highlights-june-2026,,
97e56b3817af57af00,2026-05-26,recent,61,30,Lemhi,Salmon River,official_fishing_update,Idaho Fish and Game,True,,Portion of Lower Salmon River closed for Chinook salmon fishing,"Home Press Releases and Articles idfg-cliess Tuesday, May 26, 2026 - 3:58 PM MDT The closure is from the Rice Creek Bridge upstream to the Upper Twin Bridge. Idaho Fish and Game closed Chinook salmon fishing on the portion of the Lower Salmon River from the Rice Creek Bridge upstream to the Upper Twin Bridge on Tuesday, May 26 after the sport fishing harvest objective for this section had been reached. Check out the…",,,,https://idfg.idaho.gov/article/portion-lower-salmon-river-closed-chinook-salmon-fishing,,
40acdf024b94cf7460,2026-05-19,recent,68,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Portion of mainstem Clearwater River closed for Chinook salmon fishing; adult bag and possession limits reduced,"Home Press Releases and Articles idfg-cliess Tuesday, May 19, 2026 - 9:26 AM MDT Seasons can change quickly, so be sure to check the most current reports and restrictions before you head out. Idaho Fish and Game closed Chinook salmon fishing on the lower portion of the mainstem Clearwater river from the Camas Prairie Railroad Bridge to Cherrylane Bridge on Tuesday, May 19. Additionally, adult bag and possession…",,,,https://idfg.idaho.gov/article/portion-mainstem-clearwater-river-closed-chinook-salmon-fishing-adult-bag-and-possession,,
f998b8ae6ac1c2193a,2026-05-19,recent,68,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Spring Chinook Fishery Update (5/19/2026),"Home Press Releases and Articles idfg-jthiessen Tuesday, May 19, 2026 - 4:54 PM MDT Clearwater, Rapid River, and Hells Canyon IMPORTANT NOTICE: The lower Clearwater River from Cherrylane Bridge downstream to the Camas Prairie Bridge is closed to Chinook Fishing. The rest of the Clearwater River, and the Middle Fork Clearwater River remain open 4 days a week (Thur-Sun) with a 1 adult daily limit. Please read on to…",,,,https://idfg.idaho.gov/article/spring-chinook-fishery-update-5192026,,
deff14c84901b871c2,2026-05-19,recent,68,30,Lemhi,Salmon River,official_fishing_update,Idaho Fish and Game,True,,Upper Salmon River Chinook update - 5/19/2026,"Home Press Releases and Articles idfg-gschoby Tuesday, May 19, 2026 - 7:17 AM MDT Many of you have been eagerly waiting for an update on the upper Salmon River Chinook run and the potential for fisheries we may be able to offer this summer. Like you, we are anxiously watching dam counts and fish passage at Bonneville Dam on the Columbia River. Our preseason forecasts for Chinook returning to Sawtooth and Pahsimeroi…",,,,https://idfg.idaho.gov/article/upper-salmon-river-chinook-update-5192026,,
64dad9fd2e1bfcdae6,2026-05-18,recent,69,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,Ain’t No Mountain (Stream) High Enough: A guide to finding the perfect backcountry creekside fishing camp,"Home Press Releases and Articles idfg-cliess Monday, May 18, 2026 - 9:31 AM MDT Don’t overlook that high-mountain stream or creek next time you’re looking for a backcountry fishing adventure. The dog days of summer are upon us. As the mercury skyrockets and the sun broils us 15 hours a day , few things are more attractive than leaving town and heading into the mountains to dunk a line (and maybe some sweaty feet)…",,,,https://idfg.idaho.gov/article/aint-no-mountain-stream-high-enough-guide-finding-perfect-backcountry-creekside-fishing-0,,
225193ce12d40523fa,2026-04-06,stale,111,31,Lewis,North Fork Clearwater River,official_harvest_report,Idaho Fish and Game,True,,Steelhead harvest report,"Steelhead Harvest Report | Idaho Fish and Game Skip to main content Idaho Official Government Website | Buy a License Search Hunting Toggle submenu Hunting in Idaho Seasons and Rules Big Game Seasons and Rules Moose, Bighorn Sheep and Mountain Goat Migratory Birds Upland Game, Furbearer and Turkey Big Game Hunting Harvest Statistics Drawing Odds Controlled Hunt Drawing Results State of Deer and Elk Monitoring For…",Steelhead,,,https://idfg.idaho.gov/fish/steelhead/harvest,,conservative_fuzzy
225193ce12d40523fa,2026-04-06,stale,111,30,Lemhi,Salmon River,official_harvest_report,Idaho Fish and Game,True,,Steelhead harvest report,"Steelhead Harvest Report | Idaho Fish and Game Skip to main content Idaho Official Government Website | Buy a License Search Hunting Toggle submenu Hunting in Idaho Seasons and Rules Big Game Seasons and Rules Moose, Bighorn Sheep and Mountain Goat Migratory Birds Upland Game, Furbearer and Turkey Big Game Hunting Harvest Statistics Drawing Odds Controlled Hunt Drawing Results State of Deer and Elk Monitoring For…",Steelhead,,,https://idfg.idaho.gov/fish/steelhead/harvest,,exact_or_alias
225193ce12d40523fa,2026-04-06,stale,111,14,Canyon,Snake River,official_harvest_report,Idaho Fish and Game,True,,Steelhead harvest report,"Steelhead Harvest Report | Idaho Fish and Game Skip to main content Idaho Official Government Website | Buy a License Search Hunting Toggle submenu Hunting in Idaho Seasons and Rules Big Game Seasons and Rules Moose, Bighorn Sheep and Mountain Goat Migratory Birds Upland Game, Furbearer and Turkey Big Game Hunting Harvest Statistics Drawing Odds Controlled Hunt Drawing Results State of Deer and Elk Monitoring For…",Steelhead,,,https://idfg.idaho.gov/fish/steelhead/harvest,,exact_or_alias
225193ce12d40523fa,2026-04-06,stale,111,37,Owyhee,Snake River,official_harvest_report,Idaho Fish and Game,True,,Steelhead harvest report,"Steelhead Harvest Report | Idaho Fish and Game Skip to main content Idaho Official Government Website | Buy a License Search Hunting Toggle submenu Hunting in Idaho Seasons and Rules Big Game Seasons and Rules Moose, Bighorn Sheep and Mountain Goat Migratory Birds Upland Game, Furbearer and Turkey Big Game Hunting Harvest Statistics Drawing Odds Controlled Hunt Drawing Results State of Deer and Elk Monitoring For…",Steelhead,,,https://idfg.idaho.gov/fish/steelhead/harvest,,exact_or_alias
b3ce992a704603005e,2026-04-01,stale,116,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,The opportunity to fish for some of the state’s biggest bass is now,"Home Press Releases and Articles idfg-cliess Wednesday, April 1, 2026 - 8:00 AM MDT And you don’t need to be a seasoned tournament pro to be successful. During spring, the local weatherman stands before a green screen, strategically circling portions of the state with high and low pressure systems. Predicting spring weather in Idaho can be all over the map. While it might be weeks before most anglers wait for those…",,,,https://idfg.idaho.gov/article/opportunity-fish-some-states-biggest-bass-now,,
8b4209704a2348a535,2026-02-25,stale,151,,,,official_statewide_or_regional_update,Idaho Fish and Game,True,,How are mountain whitefish populations doing in Idaho?,"Home Press Releases and Articles idfg-kmeyer Wednesday, February 25, 2026 - 10:42 AM MST Fisheries biologists use the term “salmonids” to refer to members of the biological family that includes salmon and steelhead, trout, grayling, and whitefish. In Idaho, we have many different species of native and nonnative salmonids, but by far the group that gets the least attention from anglers is whitefish. You might be…",,,,https://idfg.idaho.gov/article/how-are-mountain-whitefish-populations-doing-idaho,,
